first_name,last_name,birth_year,death_year
M.,Lavrov,,
Jēkabs,Lautenbahs,1847,1928
Emil Viktor,Lassinen,1861,1938
Jens,Larsen,,
Mārtiņš,Lapas,1846,1909
H. v.,Lankenau,,
Marie,Langner,,
Wilhelm,Lange,1767,1831
Julius,Lange,,
Antoni,Lange,1862,1929
August Friedrich Ernst,Langbein,1757,1835
Heinrich,Landsberger,1862,1917
Marie,Landmann,1859,1942
Marie,Landmann,,
Gustav,Landmann,,
Charles,Lamb,1775,1834
Alphonse de,Lamartine,1790,1869
Selma,Lagerlöf,1858,1940
Jean de,Lafontaine,1621,1695
August Heinrich Julius,Lafontaine,1758,1831
La,Brogere,,
Kotzebue August,von,1761,1819
Alois,Riehl,1844,1924
,Braunthal,,
,Saadi,1210,12911292
B.,Gutzkoud,,
Sándor,Petöfi,1823,1849
,Schille,,
Auguste,Kurs,,
Andreas,Kurrikoff,1848,1904
Matti,Kurikka,1863,1915
M.,Kuparov,,
Hermann,Kunz,1847,1905
N.,Kümmel,,
Max,Kümmel,,
H.,Kümmel,,
Külvaja,laul,,
,Küken,,
Franz Theodor,Kugler,1808,1858
Christoph Johann Anton,Kuffner,1777,1846
Friedrich Wilhelm,Krummacher,1796,1868
Friedrich Adolf,Krummacher,1767,1845
K.,Krüger,,
Johann Christian,Krüger,1723,1750
Vera,Krõžanovskaja-Rochester,1861,1924
Ivan,Krõlov,1769,1844
Julius,Krohn,1835,1888
Ilmari,Krohn,1867,1960
Helmi,Krohn,1871,1967
Karl,Krobath,1875,1916
Leonhard Albert,Kreutzer,1807,1837
Max,Kretzer,1854,1941
Vsevolod,Krestovski,1839,1895
Eberhard,Kraus,1857,1918
Annie,Kraus,1867,
Józef Ignacy,Kraszewski,1812,1887
J.,Krassilnikova,,
,Kraschewskji,,
Robert Emil,Kraft,1869,1916
Ivan,Kozlov,1779,1840
August von,Kotzebue,1761,1819
Jevgeni,Kotšetov,1845,1905
Mõkola [Nikolai],Kostomarov,1817,1885
Yrjö,Koskinen,1830,1803
,Kortamber,,
Vladimir,Korolenko,1853,1921
Theodor Carl,Körner,1791,1813
Theodor,Körner,1791,1813
Christian Gottfried,Körner,1756,1831
Carl,Körber,1802,1883
Aleko,Konstantinov,1863,1897
Maria,Konopnicka,1842,1910
Ewald August,König,1833,1888
u.,Kong Fuzi,551,479
Kong Fuzi,u.,551,479
,Kalidaaha,,
Matvei,Komarov,1730,1812
Aleksei,Koltsov,1818,1842
Aleksei,Koltsov,1809,1842
,Kolshorn,,
Louis,Köhler,1820,1886
Bruno,Köhler,1857,1925
Fr.,Köck,,
J.,Koch,,
Marie,Knoff,,
,Knebel,,
,Bührlen,,
,Klingen,,
Ernst,Klinge,1842,1915
Axel,Klinckowström,1867,1936
Hermann,Kletke,1813,1886
Heinrich von,Kleist,1777,1811
Hugo,Klein,1853,1915
Anton Oskar,Klaussmann,1851,1916
Aleksis,Kivi,1834,1872
,Kiusak,,
Anna,Kistner,1834,1911
Sándor,Kisfaludy,1772,1844
Károly,Kisfaludy,1788,1830
Ole Lund,Kirkegaard,1940,1979
,Kirchner,,
Wolfgang,Kirchbach,1857,1906
Rudyard,Kipling,1865,1936
Florence Morse,Kingsley,1859,1937
Charles,Kingsley,1819,1875
Mariane,Kineli,,
Albert,Kindner,,
Alexander L.,Kielland,1849,1906
Sophie von,Khuenberg,1863,1917
,Kerebs,,
Kempis.,Thomas,1380,1471
Karl,Keller,,
H.,Keller,,
Gottfried,Keller,1819,1890
Johann Georg,Keil,1781,1857
,Kauppis-Heikki,1862,1920
Väinö,Kataja,1867,1914
,Karizza,,
A.,Karenina,,
,Kardoza,,
Nikolai,Karamzin,1842,1908
Nikolai,Karamzin,1766,1826
,Batjuškov,,
,Innokenti,,
L.,G-s,,
Mary,Karadja,1868,1943
Franziska von,Kapff-Essenther,1849,1899
,Kanud,,
Immanuel,Kant,1724,1804
Hermann Adam von,Kamp,1796,1867
A.,Kammacher,,
Jaakko Vihturi,Kallio,1860,1921
Aino,Kallas,1878,1956
Max,Kalbeck,1850,1921
