teaviku_laad,sihtrühm,pealkiri,autor,originaal_pealkiri,Žanr,tõlkija,lähtekeel,lähtekirjandus,toimetaja,ees__järelsõna_autor,ilmumiskoht,kirjastaja,ilmumisaasta,füüsiline_kirjeldus,trükikordus,sarjaandmed,arvustatava_tõlkeraamatu_autor,väljaanne,number_leheküljed,sisu,märkused,id
Tõlkeraamat,"Täiskasvanute ilukirjandus","Seikluste knock-out : olevikuromaan","Schwerin, Otto 1890-1936",teadmata,romaanid,teadmata,saksa,saksa,,,Tallinn,Uudisleht,19351936,"88 lk.",,,,,,,"Uudislehe"" romaan",57280
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Vana pealiku saladus","Sat-Okh 1920-2003; Rassulova, Antonina","Тайна старого Сагаморы",jutustused,teadmata,vene,"vene; poola",,,,,19891990,,,,,<p>Säde</p>,"5., 9., 12., 16., 19., 23., 26., 30. aug.; 14., 17., 21., 24., 28., 31. märts.; 5., 9., 12., 16., 19., 23,, 26., 30. aug.; 6., 9., 13., 16., 20,. 23., 27., 30 sept.; 4., 7., 11., 14., 18., 21., 25., 28. okt.; 1., 4., 11., 15., 18., 25.nov.",,,72490
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Vana pealiku saladus","Sat-Okh 1920-2003; Rassulova, Antonina","Тайна старого Сагаморы",jutustused,teadmata,vene,"vene; poola",,,,,19891990,,,,,<p>Säde</p>,"5., 9., 12., 16., 19., 23., 26., 30. aug.; 14., 17., 21., 24., 28., 31. märts.; 5., 9., 12., 16., 19., 23., 26., 30. aug.; 6., 9., 13., 16., 20., 23., 27., 30 sept.; 4., 7., 11., 14., 18., 21., 25., 28. okt.; 1., 4., 11., 15., 18., 25. nov.",,,75331
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Heinakuhi; Hõbekõri; Roosa põõsas","Russakov, Jevdokim 1924-2001",teadmata,humoreskid,"Pesti, Arvo 1956-2010",vene,vene,,,,,19801981,,,,,<p>Pioneer</p>,"nr 12, lk 11",,,77701
Tõlkeraamat,"Täiskasvanute ilukirjandus","Varjatud armastus","Rothberg, Gert 1889-?",teadmata,romaanid,teadmata,teadmata,teadmata,,,Tallinn,Uudisleht,19371938,"98 lk.",,,,,,,"Ajalehe joonealune: Uudisleht, 1937-1938",57477
Tõlkeraamat,"Täiskasvanute ilukirjandus","Jean-Christophe : [romaan]","Rolland, Romain 1866-1944","Jean Christophe",romaanid,"Raag, Peeter; Kurfeldt, Aita 1901-1979; Sillaots, Marta 1887-1969; Pomm, Valentin 1905-1972; Pärna, Marta 1867-1939",prantsuse,prantsuse,,"Aspel, Aleksander 1908-1975",Tartu,Loodus,19361937,"4 kd. (488, 584, 448, 360 lk.)",,"Nobeli laureaadid",,,,,"Tõlkijad: 1. kd. P. Raag, J. Kurfeldt, 2. ja 4. kd. M. Sillaots, 3. kd. V. Pomm, M. Pärna. Raamatus tõlkija nimi J.Kurfeldt, Justa = Aita (sündinud Auguste Therese Kurfeldt). Marta Sillaots, ps = Marta Rannat (sünd. Reichenbach, abielludes Gerland, e",57788
Tõlkeraamat,"Täiskasvanute ilukirjandus","Heinrich Anton Leichtweis : julge rööwel ja salakütt : [romaan]","Röder, W. A.","Heinrich Anton Leichtweis, der verwegene Räuber und Wilddieb, oder, Dreizehn Jahre Liebe und Treue im Felsengrab",romaanid,teadmata,saksa,saksa,,,Tartu,Rada,19381939,"79 annet (1259, [1] lk.)",,,,,,,,57795
Tõlkeraamat,"Täiskasvanute ilukirjandus","Rozsa Sandor : mustlaste kuningas ja puzta kangelane : romaan Ungari minevikust","Röder, W. A.","Rozsa Sandor, der Zigeunerkönig und Pustaheld",romaanid,teadmata,saksa,saksa,,,Tartu,Rada,19391940,"19 annet (295, [4] lk.)",,,,,,,,57799
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Mis juhtus viie lapse ja koeraga","Reggiani, Renée 1925-2019","Avventure di cinque ragazzi e un cane Cappelli",jutustused,"Villandi, Valeeria 1924-2021",vene,itaalia,,,,,19741975,,,,,<p>Säde</p>,"3., 7., 14., 21., 28., 31. aug.; 7., 11., 21., 25. sept.; 2., 9, 16., 19., 23., 26., 30. okt.; 12., 16., 20., 30. nov.; 11., 18., 25., 28. dets.; 4., 8., 15., 22., 29. jaan.; 5., 12., 19. veebr.",,,80835
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Ring täis","Ras, Anatoli",teadmata,humoreskid,teadmata,vene,vene,,,,,19841985,,,,,"<p>Leninlik Lipp</p>","19. jaan.",,,73577
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Ring täis","Ras, Anatoli",teadmata,humoreskid,teadmata,vene,vene,,,,,19841985,,,,,"<p>Leninlik Lipp</p>","19. jaan.",,,76413
"Kogumikus ilmunud tõlge","Täiskasvanute ilukirjandus","Põhja tähtede all","Raine, William MacLeod 1871-1954","Under Northern stars",jutud,teadmata,inglise,ameerika,,,Tallinn,"J. Loosalu",19351936,,,"Väike raamatukogu ""Uudisjutud"", nr. 36-49",,,,,,45069
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus","Neli tankisti ja koer","Przymanowski, Janusz 1922-1998","Czterej pancerni i pies",jutustused,"Kurtna, Aleksander 1914-1983",poola,poola,,,,,19711972,,,,,<p>Säde</p>,"4., 8., 15., 18., 22., 29. sept.; 2., 6., 9., 13., 20., 23., 27., 30. okt.; 3., 6., 10., 17., 20., 24. nov.; 1., 4., 8., 15., 18., 22., 25., 29. dets.; 5., 8., 12., 19., 20., 26. jaan.; 2., 5., 9., 16., 19., 23. veebr.; 1., 8., 15., 18., 22., 29. märts; ",,,83026
