name,birth_year,death_year
"Reiche, Fritz",,
"Rehfeldt, C.",,
Rehbinder,,
"Redwitz, Oscar von",1823.0,1891.0
"Redfield, Robert",1897.0,1958.0
"Rebe, Maria",1826.0,1915.0
"Rauscher von Stainberg, Ernst",1834.0,1919.0
"Räty, Antti",1825.0,1852.0
"Rapp, Jevgeni",1841.0,1904.0
"Rank, Josef",1833.0,1912.0
"Ramstedt, Maria",1852.0,1915.0
"Rákosi, Viktor",1860.0,1923.0
Rajewski,,
"Raimund, Golo",1825.0,1882.0
"Raimund, Ferdinand",1790.0,1836.0
"Raimar, R.",,
rahvalaul,,
"Raffi,",1835.0,1888.0
"Räbel, Theodor",1824.0,1895.0
"Raaben, E.",,
R.,,
"Quirsfeld, Johann",1642.0,1686.0
Quido René,,
"Puttkamner, J.",,
"Puškin, Aleksandr",1799.0,1837.0
Puškin Aleksandr,1799.0,1837.0
"Pung, Mihkel,",1876.0,1941.0
"Pung, Mihkel",1876.0,1941.0
"Prutz, Robert Eduard",1816.0,1872.0
"Prus, Bolesław",1847.0,1912.0
"Proschko, Franz Isidor",1816.0,1891.0
"Prodromus, Theodorus",,
"Press, Arkadi",1870.0,1952.0
"Prants, Hindrik",1858.0,1932.0
"Potjehhin, Aleksei",1829.0,1908.0
"Potapenko, Ignati",1856.0,1929.0
"Poruks, Jānis",1871.0,1911.0
"Poritzky, Jakob Elias",1876.0,1935.0
"Popper, W.",,
"Popova, Olga",1849.0,1907.0
"Pontoppidan, Henrik",1857.0,1943.0
"Pont-Jest, René de",1829.0,1904.0
"Ponomarjov, Ivan",1844.0,1904.0
"Polko, Elise",1823.0,1899.0
"Polevoi, Ksenofont",1801.0,1867.0
"Pohl, Emil",1824.0,1901.0
"Poe, Edgar Allan",1809.0,1849.0
"Ploompuu, Jakob",1872.0,1948.0
"Pleštšejev, Aleksei",1825.0,1893.0
"Plessac, H. du",,
Platon,,
"Platen, August von",1796.0,1835.0
"Pillmann, W.",,
"Piispanen, Aloys Jeremias",1832.0,1904.0
"Piispanen, A. J",,
"Pierce, Etta W.",,
"Pfeilschmidt, Ernst Heinrich",1809.0,1894.0
"Pfeil, Heinrich",1835.0,1899.0
"Petrai, E.",,
"Petöfi, Sandör",1823.0,1849.0
"Petőfi, Sándor",1823.0,1849.0
"Petit-Senn, Jean Antoine",1792.0,1870.0
"Petiskus, August Heinrich",1780.0,1846.0
Petiskus,,
"Peterson, Karl",1811.0,1890.0
"Petersen, Carl",1775.0,1823.0
"Pestalozzi, Johann Heinrich",1746.0,1827.0
"Peshkov, Emil",,
"Peschkau, Emil",1856.0,1929.0
"Perrault, Charles",1628.0,1703.0
"Perov, V.",,
"Perfall, Anton von",1853.0,1912.0
"Pellheim, Lotte",,
"Pedro Alarcon, D",1833.0,1891.0
"Pederzani-Weber, Julius",1836.0,1921.0
"Pazuhhin, Nikolai",1857.0,1898.0
"Pause, Klara",,
"Pauli, Karl Friedrich",1723.0,1778.0
"Paul, Jean",1763.0,1825.0
"Jakobi, J. J.",,
"Lichtenberg, Georg Cristoph",1742.0,1799.0
